English,Infinitive,Present Participle Type,Present Participle,Past Participle Type,Past Participle,Regular Type,Present Yo,Present Tú,Present Él,Present Nosotros,Present Ellos,Preterite Type,Preterite Yo,Preterite Tú,Preterite Él,Preterite Nosotros,Preterite Ellos,Imperfect Type,Imperfect Yo,Imperfect Tú,Imperfect Él,Imperfect Nosotros,Imperfect Ellos,Simple Future Type,Simple Future Yo,Simple Future Tú,Simple Future Él,Simple Future Nosotros,Simple Future Ellos,Present Subjunctive Type,Present Subjunctive Yo,Present Subjunctive Tú,Present Subjunctive Él,Present Subjunctive Nosotros,Present Subjunctive Ellos
To arrive,Llegar,Regular,Llegando,Regular,Llegado,Regular,Llego,Llegas,Llega,Llegamos,Llegan,Orthographic,Llegué,Llegaste,Llegó,Llegamos,Llegaron,Regular,Llegaba,Llegabas,Llegaba,Llegábamos,Llegaban,Regular,Llegaré,Llegarás,Llegará,Llegaremos,Llegarán,Orthographic,Llegue,Llegues,Llegue,Lleguemos,Lleguen
To ask a question,Preguntar,Regular,Preguntando,Regular,Preguntado,Regular,Pregunto,Preguntas,Pregunta,Preguntamos,Preguntan,Regular,Pregunté,Preguntaste,Preguntó,Preguntamos,Preguntaron,Regular,Preguntaba,Preguntabas,Preguntaba,Preguntábamos,Preguntaban,Regular,Preguntaré,Preguntarás,Preguntará,Preguntaremos,Preguntarán,Regular,Pregunte,Preguntes,Pregunte,Preguntemos,Pregunten
To ask for,Pedir,Stem Changing,Pidiendo,Regular,Pedido,Stem Changing,Pido,Pides,Pide,Pedimos,Piden,Stem Changing,Pedí,Pediste,Pidió,Pedimos,Pidieron,Regular,Pedía,Pedías,Pedía,Pedíamos,Pedían,Regular,Pediré,Pedirás,Pedirá,Pediremos,Pedirán,Stem Changing,Pida,Pidas,Pida,Pidamos,Pidan
To attend,Asistir,Regular,Asistiendo,Regular,Asistido,Regular,Asisto,Asistes,Asiste,Asistimos,Asisten,Regular,Asistí,Asististe,Asistió,Asistimos,Asistieron,Regular,Asistía,Asistías,Asistía,Asistíamos,Asistían,Regular,Asistiré,Asistirás,Asistirá,Asistiremos,Asistirán,Regular,Asista,Asistas,Asista,Asistamos,Asistan
To be,Estar,Regular,Estando,Regular,Estado,Irregular,Estoy,Estás,Está,Estamos,Están,Irregular,Estuve,Estuviste,Estuvo,Estuvimos,Estuvieron,Regular,Estaba,Estabas,Estaba,Estábamos,Estaban,Regular,Estaré,Estarás,Estará,Estaremos,Estarán,Irregular,Esté,Estés,Esté,Estemos,Estén
To be,Ser,Regular,Siendo,Regular,Sido,Irregular,Soy,Eres,Es,Somos,Son,Irregular,Fui,Fuiste,Fue,Fuimos,Fueron,Irregular,Era,Eras,Era,Éramos,Eran,Regular,Seré,Serás,Será,Seremos,Serán,Irregular,Sea,Seas,Sea,Seamos,Sean
To be able to,Poder,Irregular,Pudiendo,Regular,Podido,Stem Changing,Puedo,Puedes,Puede,Podemos,Pueden,Irregular,Pude,Pudiste,Pudo,Pudimos,Pudieron,Regular,Podía,Podías,Podía,Podíamos,Podían,Irregular,Podré,Podrás,Podrá,Podremos,Podrán,Stem Changing,Pueda,Puedas,Pueda,Podamos,Puedan
To be born,Nacer,Regular,Naciendo,Regular,Nacido,Irregular,Nazco,Naces,Nace,Nacemos,Nacen,Regular,Nací,Naciste,Nació,Nacimos,Nacieron,Regular,Nacía,Nacías,Nacía,Nacíamos,Nacían,Regular,Naceré,Nacerás,Nacerá,Naceremos,Nacerán,Irregular,Nazca,Nazcas,Nazca,Nazcamos,Nazcan
To be pleasing,Gustar,Regular,Gustando,Regular,Gustado,Regular,Gusto,Gustas,Gusta,Gustamos,Gustan,Regular,Gusté,Gustaste,Gustó,Gustamos,Gustaron,Regular,Gustaba,Gustabas,Gustaba,Gustábamos,Gustaban,Regular,Gustaré,Gustarás,Gustará,Gustaremos,Gustarán,Regular,Guste,Gustes,Guste,Gustemos,Gusten
To begin,Comenzar,Regular,Comenzando,Regular,Comenzado,Stem Changing,Comienzo,Comienzas,Comienza,Comenzamos,Comienzan,Orthographic,Comencé,Comenzaste,Comenzó,Comenzamos,Comenzaron,Regular,Comenzaba,Comenzabas,Comenzaba,Comenzábamos,Comenzaban,Regular,Comenzaré,Comenzarás,Comenzará,Comenzaremos,Comenzarán,"Stem Changing, Orthographic",Comience,Comiences,Comience,Comencemos,Comiencen
